Guest House for sale in Kohuwala,2500,Hotel,https://ikman.lk/en/ad/guest-house-for-sale-in-kohuwala-for-sale-colombo,"Kohuwala,",main road - 50 m,https://i.ikman-st.com/guest-house-for-sale-in-kohuwala-for-sale-colombo/865350d0-8246-4d36-8fe3-ebb059f029e3/142/107/cropped.jpg,120000000,Sale,Ikman.lk,2026-02-21
Valuable Building for Sale - Kandy City,9000,Building,https://ikman.lk/en/ad/valuable-building-for-sale-kandy-city-for-sale-kandy-3,"Kandy City,",HomeAll adsPropertyCommercial Properties For SaleBuildingBuilding in KandyBuilding in Kandy CityValuable Building for Sale - Kandy City,https://i.ikman-st.com/valuable-building-for-sale-kandy-city-for-sale-kandy-3/669e70be-81d3-44a6-83a9-fe52d5d3caed/142/107/cropped.jpg,135000000,Sale,Ikman.lk,2026-02-21
Commercial Building for Sale in Colombo 12,250,Building,https://ikman.lk/en/ad/commercial-building-for-sale-in-colombo-12-file-no-5199-b-1-for-sale-colombo-3,"Colombo 12,",HomeAll adsPropertyCommercial Properties For SaleBuildingBuilding in ColomboBuilding in Colombo 12Commercial Building for Sale in Colombo 12 (file No 5199 B/1),https://i.ikman-st.com/commercial-building-for-sale-in-colombo-12-file-no-5199-b-1-for-sale-colombo-3/6d2490ce-1c1f-4bc6-9a21-fd627b594f68/142/107/cropped.jpg,40000000,Sale,Ikman.lk,2026-02-21
Apartment Complex for Sale in Colombo 15,8500,Other,https://ikman.lk/en/ad/apartment-complex-for-sale-in-colombo-15-file-no-5199-b-for-sale-colombo-2,"Colombo 15,",Colombo 15,https://i.ikman-st.com/apartment-complex-for-sale-in-colombo-15-file-no-5199-b-for-sale-colombo-2/a6dfa623-0f35-47c7-9fe5-ca3a37add780/142/107/cropped.jpg,100000000,Sale,Ikman.lk,2026-02-21
Colombo 09| 25 Perches of Commercial Land with a 06 Room House for Sale,3000,Building,https://ikman.lk/en/ad/colombo-09-25-perches-of-commercial-land-with-a-06-room-house-for-sale-for-sale-colombo-5,"Colombo 9,","Veluwana Road, Colombo 9",https://i.ikman-st.com/colombo-09-25-perches-of-commercial-land-with-a-06-room-house-for-sale-for-sale-colombo-5/d8273e2e-0fc6-47c9-ad8e-9fb8a5e53a8e/142/107/cropped.jpg,87500000,Sale,Ikman.lk,2026-02-21
Commcial building for sale in mout lavinia,4000,Building,https://ikman.lk/en/ad/commcial-building-for-sale-in-mout-lavinia-for-sale-colombo,"Mount Lavinia,",Commcial building for sale in mount lavinia,https://i.ikman-st.com/commcial-building-for-sale-in-mout-lavinia-for-sale-colombo/1503e11e-e5fb-4487-9fd5-b4fcdac317e6/142/107/cropped.jpg,87500000,Sale,Ikman.lk,2026-02-21
Nugegoda Jubilee Post 40 Perch Land with a 6000 Sq.Ft Building for Sale,6000,Building,https://ikman.lk/en/ad/nugegoda-jubilee-post-40-perch-land-with-a-6000-sqft-building-for-sale-for-sale-colombo,"Nugegoda,","Jubilee Post, Nugegoda",https://i.ikman-st.com/nugegoda-jubilee-post-40-perch-land-with-a-6000-sqft-building-for-sale-for-sale-colombo/206642d6-acae-4efc-8633-64518e0c8c09/142/107/cropped.jpg,280000000,Sale,Ikman.lk,2026-02-21
Commcial Property for Sale in Gampaha Town,1600,Building,https://ikman.lk/en/ad/commcial-property-for-sale-in-gampaha-town-for-sale-gampaha-1,"Gampaha City,",commcial property for sale in gampaha town,https://i.ikman-st.com/commcial-property-for-sale-in-gampaha-town-for-sale-gampaha-1/c88ffcbd-f135-44e8-b561-24b62e874a21/142/107/cropped.jpg,25000000,Sale,Ikman.lk,2026-02-21
TWO PRIME COMMERCIAL BUILDINGS FOR SALE AT RAJAGIRIYA,20352,Building,https://ikman.lk/en/ad/two-prime-commercial-buildings-for-sale-at-rajagiriya-em033sk-for-sale-colombo,"Rajagiriya,","Rajagiriya, Colombo",https://i.ikman-st.com/two-prime-commercial-buildings-for-sale-at-rajagiriya-em033sk-for-sale-colombo/3ed6e1c1-8baf-47a6-8308-a69da22e02c2/142/107/cropped.jpg,750000000,Sale,Ikman.lk,2026-02-21
Piliyandala - Town Centre 13.75 Perches Commercial Land for Sale,2500,Building,https://ikman.lk/en/ad/piliyandala-town-centre-1375-perches-commercial-land-for-sale-for-sale-colombo-5,"Piliyandala,",Piliyandala Horana Old Road,https://i.ikman-st.com/piliyandala-town-centre-1375-perches-commercial-land-for-sale-for-sale-colombo-5/2bde1f1d-04ef-4df5-a7a1-3a1622eca4d9/142/107/cropped.jpg,55000000,Sale,Ikman.lk,2026-02-21
